project	donor_id	file_id	object_id	bundle_id	file_name
ESAD-UK	DO50329	FI811348	9accc854-12c8-566b-9f5c-70bc588b0a7c	EGAR00001193704	bdd383bbac0fb653c5c3bc0fe00be1cb.LP6007539-DNA_A01.bam
ESAD-UK	DO229455	FI811300	ff1828af-fa31-568c-af59-50715e975522	EGAR00001436334	1456da0832db7d69cc4344782e9bf9b7.LP6008202-DNA_D02.bam
ESAD-UK	DO228992	FI811302	95ed6f48-cdd4-5f17-ba6e-5dd2fa7e87ab	EGAR00001500337	2ab5d8c71834113918a55295c8f65fa7.LP6008264-DNA_C01.bam
ESAD-UK	DO50384	FI811319	ea9ecfac-0680-52fe-9fd3-0711930ade03	EGAR00001193134	1cb989cfb28482c191a789b6ae87a679.LP6005690-DNA_B02.bam
ESAD-UK	DO50382	FI811228	57e2744f-90be-5f26-a4f5-da7dbea21308	EGAR00001193100	727dbd34e60c977994e2836a09e87008.LP6005689-DNA_C02.bam
ESAD-UK	DO50448	FI811254	cc69b3ff-b091-5ed9-84ba-f11d18105328	EGAR00001202500	032c51c9dec4af0ed3e2e7c087b73890.LP6005500-DNA_B01.bam
ESAD-UK	DO50385	FI811209	cce6ee97-aba3-5e2c-968a-033bf42cc0d5	EGAR00001193169	64ebe86384e980943b2dea0f5fb7ada9.LP6007429-DNA_A01.bam
ESAD-UK	DO50435	FI811182	2fcc7c63-61bf-5aae-81aa-ebe29b528609	EGAR00001192985	065d20b4f442d2a16a4eb6344e1f2775.LP6005409-DNA_F01.bam
ESAD-UK	DO50348	FI811181	72415b1c-ef29-55c9-b753-08ab3a372a0a	EGAR00001202506	8c70ff2bf607b944536098f6c8205862.LP6005500-DNA_D02.bam
ESAD-UK	DO50384	FI811192	05e7820c-32b2-5615-a3bb-d1dceff077dc	EGAR00001193099	38738e9f4db6f4f13d6c12cff86b3f86.LP6005689-DNA_B02.bam
ESAD-UK	DO228962	FI811153	c9e27b99-84ef-5649-b0cf-0a35c9c37b87	EGAR00001436327	29cb76bc5e351e411d87de0dfccadae2.LP6008202-DNA_E01.bam
ESAD-UK	DO50342	FI811162	3de34ba0-7626-5fec-8eea-f9effa6ac73f	EGAR00001193168	4f4569a2e24d3e5f81cae9007f8ae1e0.LP6007426-DNA_A01.bam
ESAD-UK	DO50407	FI811169	7948d4f4-38e7-5e66-baf6-1fc765c955ac	EGAR00001219086	788f69342417a0b8c7d70d28c7d5656f.LP6005333-DNA_F02.bam
ESAD-UK	DO50444	FI811131	0d061a66-99ee-5ac2-8007-099c0ae5d182	EGAR00001253334	1a6186773495fa1b30ec057e8f3319cf.LP6005934-DNA_H01.bam
ESAD-UK	DO229471	FI811295	fcdf6605-bd22-5826-aa82-1b2ff31c56d7	EGAR00001436409	7d397f39268c36e11aecc7c7b8d94f86.LP6008220-DNA_C02.bam
ESAD-UK	DO10851	FI811216	078cf262-f01a-5d22-a395-93b9b5ca9770	EGAR00001130627	e5df5f89974e953a646d0973278f6e76.SS6003304.bam
ESAD-UK	DO50434	FI807424	cbcd42b0-5d36-5c84-b7ad-eb48e175cad0	EGAR00001192947	c116d044cc04dc3818bba86dfc9d6e7b.LP6005408-DNA_E01.bam
ESAD-UK	DO227511	FI806703	11f484eb-067b-5dc0-b4dc-5a80f3bb95b2	EGAR00001202546	2c62bb1d571267031cb8e65329eeef1a.LP6005500-DNA_F03.bam
ESAD-UK	DO10850	FI808272	e39e4d9d-9238-5676-9e89-6f1343247542	EGAR00001131301	9dd78a2eea8ae6cfa1e33509acb08634.SS6003303.bam
ESAD-UK	DO227488	FI808284	77c3f58a-983e-59d1-bf0c-7c3ee7a55399	EGAR00001192977	a165b535e16964c8f49d3edace88cf32.LP6005409-DNA_A03.bam
ESAD-UK	DO227505	FI811340	4296eebd-df70-5f70-81c6-958bb62cf0e3	EGAR00001368555	5321f68715454fdd14d24f6a1c089046.LP6007417-DNA_A02.bam
ESAD-UK	DO10853	FI811344	ea5cd0ad-5014-55e3-aae5-aebb0333f944	EGAR00001141753	09e4e285014d298b5dc95a1e50a6021d.SS6003311.bam
ESAD-UK	DO229498	FI811304	b9ca4712-d1fc-5cc9-9263-2ab9b5b8e566	EGAR00001500341	eda8160bb296a983d2fe87f4d427c0c2.LP6008264-DNA_H01.bam
ESAD-UK	DO229001	FI811303	04240ada-33ba-5762-adfb-7d2247d70fc7	EGAR00001325075	e69b8f7f4a77f207ae90f5935bcc8ac1.LP6008051-DNA_G01.bam
ESAD-UK	DO50318	FI811328	8227ac19-db46-57ac-877c-ac182b0baf73	EGAR00001193160	2796f9cd1abeeb8089dfd88bf0b2ad98.LP6007403-DNA_A01.bam
ESAD-UK	DO50403	FI811263	6bf72846-ead4-57f8-8796-61a7e6e46927	EGAR00001219084	1de77684595b1fe0082117b0daad007b.LP6005333-DNA_D02.bam
ESAD-UK	DO50309	FI811213	9a6e2e5f-2c2b-5a33-bc96-c43949038204	EGAR00001193173	953162f0176422b0a388055fdbbaaf0b.LP6007437-DNA_A01.bam
ESAD-UK	DO229530	FI811197	b718b190-6a16-50a5-a0c5-1a9474ac4589	EGAR00001253305	73996485bd4af4720fd6d4fbe89f8ce0.LP6005935-DNA_A02.bam
