project	donor_id	file_id	object_id	bundle_id	file_name
LUSC-KR	DO224584	FI815477	f5608812-bf99-5a07-accf-4fa0d6ae32af	EGAR00001658219	6b1f7fe8efac0d824fdec18cd6b19a35.J52-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224572	FI815474	c982c12f-e231-500a-8f76-337372c39c72	EGAR00001658211	3ca0bec33f94206365122663b70e44a4.J33-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224589	FI815482	5cbea620-692b-53c4-a123-d9c6a578abfd	EGAR00001658221	326007416078add3fa75135afbe55045.J54-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224594	FI815453	9ab7bf59-f749-5acf-92ae-af9e83936226	EGAR00001658222	0b5bf8f137e4d1b66d06c565daa82f1e.J57-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224558	FI815457	e4400951-da07-5100-8337-46f2071024f1	EGAR00001658202	2bf6160b866aef748629bd43ecc2e872.J17-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224605	FI815464	edf19837-c609-5acf-b80f-5bfc99bd389c	EGAR00001658226	c831ad4a71464afdc6effd3b05895a64.J65-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224546	FI815467	b28c6ba1-107e-5190-a03e-ce9de95af1cd	EGAR00001658194	0f33c1e71e24571fe64e72f59ee8e581.J10-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224566	FI815484	06f65015-54ac-50a3-91cc-0879de274b80	EGAR00001658207	e7afe7311d39e669a44ad878dbff79fd.J31-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224632	FI815481	bb7557ce-e9c8-5db8-99b1-34ea382ae664	EGAR00001658244	584e2fdc756eb1dd5a0866db44307a03.J88-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224605	FI815487	5dd41ba0-47ca-5299-8f88-7e6f854f97e9	EGAR00001658227	8a2830b8626df774f74726fe7442c990.J65-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224541	FI815444	d044ddcc-5772-58c7-a440-5378bfab1ff1	EGAR00001658191	0cc292ae58c6e0b1d19d3815cb71a919.J6-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224579	FI815471	d4cc2fbc-e3a3-503e-9dba-af91f62881ec	EGAR00001658214	aea6c3932f018cc31186ce36f1dc330b.J38-N_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224594	FI815496	ff8e10f8-d377-5377-8990-927f354f31e0	EGAR00001658223	97651da1b431f3e189f727af103ebed4.J57-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224626	FI815479	63b38e2f-fd00-51b3-8579-8bdb5f9afa4c	EGAR00001658241	900742666eff9ec79baa7fb154b1cf65.J85-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224570	FI815478	034dcfa1-cd4d-52ad-9c2c-bd20121e18cb	EGAR00001658209	bce6ad78a342182f4c7f2e819c050b06.J32-T_60x_sort_dup_rea_recal.bam
LUSC-KR	DO224624	FI815488	8877e54e-6265-5996-8801-ec0700c1d2fd	EGAR00001658238	93ca882ede2774d350a1a602ca6bd7d1.J83-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224638	FI815485	6b7b1d6b-4521-5376-b154-c1258e39bab7	EGAR00001658246	81725dbafaada2dab0172e4fbb63b738.J90-N_30x_sort_dup_rea_recal.bam
LUSC-KR	DO224541	FI815446	3760a4db-fa7d-56c8-9598-a31dd6d5c82b	EGAR00001658190	92c618bd6f15e3606059c24b92a0fd34.J6-N_30x_sort_dup_rea_recal.bam
